ISSN,Cote,Nommage PDF,Date de publication,Langue,Auteurs,Éditeur,Lieu d'édition,Sujets
0131-8756,8P5887,LC_8P_5876_1970_09.pdf,1970-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5888,LC_8P_5876_1970_10.pdf,1970-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5889,LC_8P_5876_1970_11.pdf,1970-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5890,LC_8P_5876_1970_12.pdf,1970-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5891,LC_8P_5876_1971_01.pdf,1971-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5892,LC_8P_5876_1971_02.pdf,1971-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5893,LC_8P_5876_1971_03.pdf,1971-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5894,LC_8P_5876_1971_04.pdf,1971-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5896,LC_8P_5876_1971_06.pdf,1971-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5897,LC_8P_5876_1971_07.pdf,1971-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5898,LC_8P_5876_1971_08.pdf,1971-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5899,LC_8P_5876_1971_09.pdf,1971-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5900,LC_8P_5876_1971_10.pdf,1971-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5901,LC_8P_5876_1971_11.pdf,1971-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5902,LC_8P_5876_1971_12.pdf,1971-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5903,LC_8P_5876_1972_01.pdf,1972-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5904,LC_8P_5876_1972_02.pdf,1972-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5905,LC_8P_5876_1972_03.pdf,1972-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5906,LC_8P_5876_1972_04.pdf,1972-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5907,LC_8P_5876_1972_05.pdf,1972-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5908,LC_8P_5876_1972_06.pdf,1972-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5909,LC_8P_5876_1972_07.pdf,1972-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5910,LC_8P_5876_1972_08.pdf,1972-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
